"id","Item URI","Dublin Core:Title","Dublin Core:Creator","Dublin Core:Date","Dublin Core:Identifier","xml_link","collection"
"BUCA_Bastaire_Collection_Aventures_C50578","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77947","Le mot qui tue","Saintillac, Hector (1876-1962)","1916.0","BUCA_Bastaire_Collection_Aventures_C50578","BUCA_Bastaire_Collection_Aventures_C50578.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91953","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77946","La Tringle et Paolo","Kerlecq, Jean de (1882-1969)"," [19..]","BUCA_Bastaire_Collection_Aventures_C91953","BUCA_Bastaire_Collection_Aventures_C91953.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91954","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77945","Le martyre de Paolo, le petit acrobate","Kerlecq, Jean de (1882-1969)"," [19..]","BUCA_Bastaire_Collection_Aventures_C91954","BUCA_Bastaire_Collection_Aventures_C91954.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91955","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77944","Dick, le petit télégraphiste. [I], Les fugitifs","Hales, A. G. (1870-1936)"," [191.]","BUCA_Bastaire_Collection_Aventures_C91955","BUCA_Bastaire_Collection_Aventures_C91955.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91956","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77943","Dick le petit télégraphiste. [III], Les Nubiens sans nez","Hales, A. G. (1870-1936)"," [191.]","BUCA_Bastaire_Collection_Aventures_C91956","BUCA_Bastaire_Collection_Aventures_C91956.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91959","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77942","Le maître de la banquise. [I]","Moselli, José (1882-1941)"," [19..]","BUCA_Bastaire_Collection_Aventures_C91959","BUCA_Bastaire_Collection_Aventures_C91959.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91968","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77941","Le secret du chiffonnier. [I]","Valle, Jo (1865-1949)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91968","BUCA_Bastaire_Collection_Aventures_C91968.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C50583","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77940","Maurice Gillar, détective. [I]","Idiers, Marcel (1886-1960)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C50583","BUCA_Bastaire_Collection_Aventures_C50583.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91957","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77939","Le roi des boxeurs. Les terroristes du Kurdistan","Moselli, José (1882-1941)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91957","BUCA_Bastaire_Collection_Aventures_C91957.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91958","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77938","En avant, Fanfan-la-Tulipe","C..., J. de (18..-19..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91958","BUCA_Bastaire_Collection_Aventures_C91958.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91960","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77937","Le maître de la banquise. [III], La cité du pôle|L'espion de Philadelphie","Moselli, José (1882-1941)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91960","BUCA_Bastaire_Collection_Aventures_C91960.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91961","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77936","L'étrange voyage. [I], Les hommes-singes","Laurian, Marcel (18..-19..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91961","BUCA_Bastaire_Collection_Aventures_C91961.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91962","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77935","L'héritage de Doublezède. [I]","Adam, Pierre (1883-1943)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91962","BUCA_Bastaire_Collection_Aventures_C91962.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91963","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77934","L'héritage de doublezède. [III], La dette du crime","Adam, Pierre (1883-1943)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91963","BUCA_Bastaire_Collection_Aventures_C91963.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91964","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77933","Trois coeurs de France|Combats tragiques dans les montagnes Rocheuses","Adam, Pierre (1883-1943)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91964","BUCA_Bastaire_Collection_Aventures_C91964.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91965","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77932","La nièce du geolier","Salmon, Paul (1884-1965)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91965","BUCA_Bastaire_Collection_Aventures_C91965.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91966","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77931","Les bandits de Paris-New-York","Aleyrac, Jean (18..-19..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91966","BUCA_Bastaire_Collection_Aventures_C91966.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91967","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77930","La brousse aux loups","Véran, Réginald (1873-1962)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91967","BUCA_Bastaire_Collection_Aventures_C91967.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91969","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77929","Le secret du chiffonnier. [II], Le compagnon de chaîne","Valle, Jo (1865-1949)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91969","BUCA_Bastaire_Collection_Aventures_C91969.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91970","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77928","Les pillards mexicains. [II], La machine infernale","Idiers, Marcel (1886-1960)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91970","BUCA_Bastaire_Collection_Aventures_C91970.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91971","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77927","L'explorateur fantôme. [II], Le cratère du Diable","Choquet, Gaston (1875-1917)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91971","BUCA_Bastaire_Collection_Aventures_C91971.xml","Collection d'Aventures"
